-2147483648,0
-2147417855,1
-2147352062,2
-2147286269,3
-2147220476,4
-2147154683,5
-2147088890,6
-2147023097,7
-2146957304,8
-2146891511,9
-2146825718,10
-2146759925,11
-2146694132,12
-2146628339,13
-2146562546,14
-2146496753,15
-2146430960,16
-2146365167,17
-2146299374,18
-2146233581,19
-2146167788,20
-2146101995,21
-2146036202,22
-2145970409,23
-2145904616,24
-2145838823,25
-2145773030,26
-2145707237,27
-2145641444,28
-2145575651,29
-2145509858,30
-2145444065,31
-2145378272,32
-2145312479,33
-2145246686,34
-2145180893,35
-2145115100,36
-2145049307,37
-2144983514,38
-2144917721,39
-2144851928,40
-2144786135,41
-2144720342,42
-2144654549,43
-2144588756,44
-2144522963,45
-2144457170,46
-2144391377,47
-2144325584,48
-2144259791,49
-2144193998,50
-2144128205,51
-2144062412,52
-2143996619,53
-2143930826,54
-2143865033,55
-2143799240,56
-2143733447,57
-2143667654,58
-2143601861,59
-2143536068,60
-2143470275,61
-2143404482,62
-2143338689,63
-2143272896,64
-2143207103,65
-2143141310,66
-2143075517,67
-2143009724,68
-2142943931,69
-2142878138,70
-2142812345,71
-2142746552,72
-2142680759,73
-2142614966,74
-2142549173,75
-2142483380,76
-2142417587,77
-2142351794,78
-2142286001,79
-2142220208,80
-2142154415,81
-2142088622,82
-2142022829,83
-2141957036,84
-2141891243,85
-2141825450,86
-2141759657,87
-2141693864,88
-2141628071,89
-2141562278,90
-2141496485,91
-2141430692,92
-2141364899,93
-2141299106,94
-2141233313,95
-2141167520,96
-2141101727,97
-2141035934,98
-2140970141,99
